Date,Open,High,Low,Close,Volume,SPY R
19/11/2007,145.28,145.36,143.19,143.76,267745904,-0.013924137
20/11/2007,144.02,145.53,142.11,144.64,414767456,0.006121313
21/11/2007,143.08,143.91,141.67,141.68,259196736,-0.020464602
27/11/2007,141.74,143.23,140.95,142.57,293900192,0.006281762
28/11/2007,144.19,147.47,144.14,147.13,259096928,0.031984288
29/11/2007,146.62,147.72,146.1,147.18,199411088,0.000339836
30/11/2007,149.04,149.87,147.33,148.66,222907920,0.010055714
03/12/2007,148.19,148.45,147.29,147.68,146430464,-0.006592224
04/12/2007,146.66,147.54,146.31,146.36,136533872,-0.008938245
05/12/2007,147.93,149.2,147.83,148.81,171129968,0.016739546
06/12/2007,148.63,151.21,148.57,150.94,154542544,0.014313554
07/12/2007,151.42,151.5,150.55,150.91,148980048,-0.000198754
10/12/2007,151.28,152.25,150.86,152.08,123914392,0.007752965
11/12/2007,152.14,152.89,147.83,147.91,250346384,-0.027419779
12/12/2007,151.06,151.77,147.2,149.37,322435584,0.009870867
13/12/2007,148.32,149.39,147.3,149.06,237607056,-0.002075383
14/12/2007,147.93,149.1,147.1,147.17,159152848,-0.012679458
17/12/2007,146.61,146.87,144.86,145.07,177269312,-0.014269212
19/12/2007,145.94,146.89,144.94,145.88,198917152,0.005583511
20/12/2007,146.84,146.86,145.18,146.8,214813760,0.006306553
21/12/2007,147.37,148.42,147.09,148.13,146090320,0.009059946
26/12/2007,148.65,149.68,148.5,149.55,67118072,0.009586174
27/12/2007,149.02,149.03,147.32,147.67,122981696,-0.012571046
28/12/2007,148.54,148.61,146.9,147.3,116398072,-0.002505587
31/12/2007,147.1,147.61,146.06,146.21,108126720,-0.007399864
02/01/2008,146.53,146.99,143.88,144.93,204935536,-0.008754531
03/01/2008,144.91,145.49,144.07,144.86,125133264,-0.000482992
04/01/2008,143.34,143.44,140.91,141.31,232330816,-0.02450642
07/01/2008,141.81,142.23,140.1,141.19,234990928,-0.000849197
08/01/2008,142.08,142.9,138.44,138.91,326366816,-0.016148452
09/01/2008,139.09,140.79,137.7,140.37,301910848,0.010510402
10/01/2008,139.68,142.8,139.37,141.29,335701120,0.006554107
11/01/2008,140.78,141.9,139,140.15,267076592,-0.008068512
14/01/2008,141.16,141.86,140.4,141.28,170365600,0.00806279
15/01/2008,139.79,141.49,137.9,138.17,240456496,-0.022013024
16/01/2008,137.36,139.12,136.28,136.98,378955904,-0.008612579
