Open,High,Low,Close,Volume,TLT R
95.68,96,95.36,95.59,1633446,-0.003751954
95.28,95.32,94.58,94.94,3100157,-0.006799874
94.69,94.77,93.59,94.32,3467905,-0.00653044
95.3,95.43,94.63,94.99,11440965,0.007103478
95,95.4,94.56,95.23,4163650,0.002526582
94.39,94.66,94.13,94.25,1729511,-0.010290875
95.34,95.61,94.77,94.97,2594551,0.007639257
94.63,94.85,94.36,94.68,1339750,-0.003053596
94.53,94.53,92.05,92.64,5419623,-0.021546261
93.25,93.73,93.09,93.7,2832724,0.011442142
94.28,94.7,93.73,94.09,2960110,0.00416222
93.32,93.65,92.96,93.53,2897650,-0.005951748
92.93,93.42,92.4,92.54,3697493,-0.010584839
91.8,92.1,90.66,91.18,7504905,-0.014696348
91.61,92.07,91.46,91.88,3687713,0.007677122
91.14,91.7,90.64,90.95,2911656,-0.010121898
90.62,91.58,90.56,91.58,2550096,0.006926883
92.08,92.85,92.05,92.55,4197212,0.010591832
92.49,92.85,91.87,92.02,1959634,-0.005726634
91.95,92.14,90.65,91.08,3460845,-0.010215171
90.96,91.34,90.73,91.11,2618900,0.000329381
91.43,91.57,90.61,91.19,2494523,0.000878059
92.35,92.84,92.19,92.81,3410871,0.017765106
93.65,94.46,93.52,94.23,3821918,0.015300075
93.67,94.2,93.25,93.64,2037838,-0.006261276
93.92,94.12,92.53,92.73,3401008,-0.009718069
93.06,93.06,91.5,91.62,3871152,-0.011970236
91.82,92.44,91.67,92.11,1342582,0.005348177
93.29,93.35,91.74,92.23,3601277,0.00130279
92.7,94.13,92.61,93.59,3578955,0.014745744
92.92,93.03,92.21,92.79,3309108,-0.008547922
93.13,94.68,92.97,94.58,4753172,0.019290872
95.03,95.19,93.26,93.84,5763422,-0.007824064
94.67,95.81,94.62,95,6174879,0.012361466
95.5,96.31,95.31,95.73,3329422,0.007684211
95.3,96.16,94.95,95.36,4022366,-0.003865037
95.12,97.47,95.12,96.94,5208495,0.016568792
97,97.75,96.87,97.18,3905865,0.002475758
96.48,96.48,95.2,95.3,5596167,-0.019345544
95.38,95.82,95.28,95.7,2038110,0.004197272
95.78,96.2,95.23,95.3,1651943,-0.004179728
94.64,95.36,94.54,94.63,2405670,-0.00703043
95.09,95.56,94.75,95.55,1745495,0.009722075
96.11,96.32,95.67,95.89,2546257,0.003558346
94.81,94.85,93.78,93.93,3821733,-0.020440088
93.99,94.86,93.99,94.13,3794152,0.002129245
94.5,94.67,94.12,94.34,2839021,0.002230957
95.17,95.56,94.99,95.2,1745200,0.009115964
94.62,94.78,93.9,94.7,2231757,-0.005252101
95.18,95.24,94.26,94.37,1305186,-0.003484688
94.56,95.64,94.55,95.35,2883511,0.010384656
95.31,95.5,94.57,95.03,1846442,-0.003356057
95.6,95.92,95.47,95.67,1987631,0.006734715
95.34,95.7,94.99,95.11,3197033,-0.005853455
94.42,94.58,93.9,93.93,2821558,-0.012406687
93.8,94.06,92.43,93.01,4691055,-0.009794528
92.98,93.18,92.24,92.85,2019991,-0.001720245
92,92.88,91.82,92.77,2199677,-0.000861605
92.41,93.28,92.3,93.14,2805712,0.003988358
92.91,93.67,92.91,93.46,1799762,0.003435688
93.09,93.63,92.53,93.15,1221004,-0.003316927
92.26,92.46,91.81,92.36,3213516,-0.008480945
92.14,92.25,91.5,91.82,1741990,-0.005846687
91.53,92.35,91.41,92.1,1883822,0.003049445
92.38,92.86,92.15,92.45,1269090,0.003800217
92.42,93.2,91.85,93.11,2827414,0.007138994
93.44,93.65,92.38,92.78,3226439,-0.003544195
91.86,91.87,91.14,91.61,1309260,-0.012610476
92.01,92.08,90.79,90.95,4037499,-0.007204454
90.73,91.43,90.62,91.34,3876149,0.00428807
92.73,92.87,92.21,92.5,2064251,0.012699803
92.76,93.16,92.35,92.36,1947352,-0.001513514
91.83,92.05,91.31,91.35,2123298,-0.01093547
92,92.01,90.72,91.39,2600823,0.000437876
91.17,92.33,91.09,92.22,2164249,0.009081956
91.88,92.89,91.78,91.84,1902574,-0.004120581
92.26,92.26,91.3,91.96,1348125,0.00130662
92.44,92.5,91.9,92.44,1465937,0.005219661
92.05,92.67,91.86,92.46,1762090,0.000216357
