Date,SSO,UBT,UST,UGL
10/14/2016,34.41,44.43,61.75,39.71
10/17/2016,34.19,44.95,61.99,39.89
10/18/2016,34.57,45.06,62.32,40.41
10/19/2016,34.74,45.16,62.26,40.83
10/20/2016,34.64,45.2,62.19,40.63
10/21/2016,34.65,45.44,62.31,40.66
10/24/2016,34.94,45.03,62.15,40.51
10/25/2016,34.73,45.15,62.16,41.24
10/26/2016,34.58,44.59,61.87,40.62
10/27/2016,34.41,43.74,61.41,40.82
10/28/2016,34.19,43.41,61.46,41.5
10/31/2016,34.18,43.89,61.58,41.33
11/01/2016,33.71,43.96,61.53,41.94
11/02/2016,33.28,44.45,61.87,42.53
11/03/2016,32.98,43.7,61.83,43.05
11/04/2016,32.89,44.5,62.18,43.04
11/07/2016,34.32,43.59,61.67,41.51
11/08/2016,34.63,43.25,61.24,41.14
11/09/2016,35.41,39.65,59.39,41.07
11/10/2016,35.56,38.48,58.65,39.83
11/11/2016,35.4,38.07,58.45,38.04
11/14/2016,35.46,37.6,57.72,37.47
11/15/2016,36,37.83,57.66,38.06
11/16/2016,35.88,38.67,57.78,37.84
11/17/2016,36.24,37.55,57.25,37.48
11/18/2016,36.09,37.23,56.71,36.79
11/21/2016,36.6,37.42,56.84,37.05
11/22/2016,36.76,37.51,56.94,37.02
11/23/2016,36.8,37.3,56.55,35.57
11/25/2016,37.07,37.26,56.47,35.12
11/28/2016,36.74,37.83,56.92,35.87
11/29/2016,36.87,38.16,57.14,35.54
11/30/2016,36.65,37.01,56.33,34.59
12/01/2016,36.38,36.15,55.83,34.48
12/02/2016,36.44,36.53,56.33,34.8
12/05/2016,36.87,36.58,56.44,34.38
12/06/2016,37.1,36.58,56.38,34.31
12/07/2016,38.05,37.11,56.73,34.6
12/08/2016,38.27,36.31,56.3,34.47
12/09/2016,38.71,35.37,55.71,33.73
12/12/2016,38.62,35.44,55.74,34
12/13/2016,39.14,35.81,55.81,33.76
12/14/2016,38.51,35.14,54.87,32.77
12/15/2016,38.78,35.15,54.57,31.88
12/16/2016,38.67,35.53,54.74,32.24
12/19/2016,38.8,35.95,55.21,32.6
12/20/2016,39.09,35.45,55.01,32.12
12/21/2016,38.87,35.94,55.04,32.17
12/22/2016,38.73,35.81,55.02,31.93
12/23/2016,38.83,35.89,55.16,32.14
12/27/2016,39.01,35.58,54.93,32.53
12/28/2016,38.39,36.17,55.14,32.7
12/29/2016,38.35,36.31,55.65,33.54
12/30/2016,38.07,36.51,56.09,33.2
01/03/2017,38.63,36.9,56,33.63
01/04/2017,39.09,37.2,55.87,33.94
01/05/2017,39.02,38.06,56.71,34.97
01/06/2017,39.3,37.42,56.25,34.45
01/09/2017,39.04,37.99,56.66,34.99
01/10/2017,39.03,37.99,56.65,35.25
01/11/2017,39.25,38.72,56.85,35.52
01/12/2017,39.07,38.14,56.8,35.72
1/13/2017,39.24,37.74,56.51,35.92
1/17/2017,38.96,38.63,57.13,36.9
1/18/2017,39.12,37.51,56.44,36.27
1/19/2017,38.85,37.08,55.99,36.22
1/20/2017,39.08,36.95,55.99,36.38
1/23/2017,38.91,37.78,56.62,36.85
1/24/2017,39.37,37.14,56.14,36.49
1/25/2017,40.04,36.28,55.64,35.92
1/26/2017,39.99,36.2,55.82,35.28
1/27/2017,39.89,36.82,55.93,35.37
1/30/2017,39.41,36.56,55.87,35.66
1/31/2017,39.39,36.98,56.24,36.62
02/01/2017,39.4,36.74,56.01,36.44
02/02/2017,39.42,36.53,56.05,36.82
02/03/2017,39.98,36.24,56.08,37.04
02/06/2017,39.84,37.03,56.67,37.93
02/07/2017,39.85,37.56,56.88,37.86
02/08/2017,39.96,38.52,57.26,38.2
02/09/2017,40.38,37.61,56.6,37.76
02/10/2017,40.7,37.62,56.54,37.87
2/13/2017,41.15,37.11,56.38,37.36
2/14/2017,41.5,36.8,55.95,37.46
